"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","slugTeam","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","cityTeam","teamName","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom"
1993.0,29.0,2.0,2.0,Sherron Mills,MIN,Virginia Commonwealth,College/University,83611.0,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,0.0,COL,
1993.0,30.0,2.0,3.0,Gheorghe Muresan,WAS,Elan Bearnais Pau-Orthez,Other Team/Club,49.0,1610612764,Washington Bullets,Washington,Bullets,1.0,PRO,France
1993.0,31.0,2.0,4.0,Evers Burns,SAC,Maryland,College/University,76308.0,1610612758,Sacramento Kings,Sacramento,Kings,1.0,COL,
1993.0,32.0,2.0,5.0,Alphonso Ford,PHL,Mississippi Valley State,College/University,76732.0,1610612755,Philadelphia 76ers,Philadelphia,"76ers",1.0,COL,
1993.0,33.0,2.0,6.0,Eric Riley,DAL,Michigan,College/University,35.0,1610612742,Dallas Mavericks,Dallas,Mavericks,1.0,COL,
1993.0,34.0,2.0,7.0,Darnell Mee,GOS,Western Kentucky,College/University,1577.0,1610612744,Golden State Warriors,Golden State,Warriors,1.0,COL,
1993.0,35.0,2.0,8.0,Ed Stokes,MIA,Arizona,College/University,1055.0,1610612748,Miami Heat,Miami,Heat,1.0,COL,
1993.0,36.0,2.0,9.0,John Best,NJN,Tennessee Tech,College/University,83606.0,1610612751,New Jersey Nets,New Jersey,Nets,0.0,COL,
1993.0,37.0,2.0,10.0,Nick Van Exel,LAL,Cincinnati,College/University,89.0,1610612747,Los Angeles Lakers,Los Angeles,Lakers,1.0,COL,
1993.0,38.0,2.0,11.0,Conrad McRae,WAS,Syracuse,College/University,83602.0,1610612764,Washington Bullets,Washington,Bullets,0.0,COL,
1993.0,39.0,2.0,12.0,Thomas Hill,IND,Duke,College/University,83605.0,1610612754,Indiana Pacers,Indiana,Pacers,0.0,COL,
1993.0,40.0,2.0,13.0,Richard Manning,ATL,Washington,College/University,316.0,1610612737,Atlanta Hawks,Atlanta,Hawks,1.0,COL,
1993.0,41.0,2.0,14.0,Anthony Reed,CHI,Tulane,College/University,83603.0,1610612741,Chicago Bulls,Chicago,Bulls,0.0,COL,
1993.0,42.0,2.0,15.0,Adonis Jordan,SEA,Kansas,College/University,1817.0,1610612760,Seattle SuperSonics,Seattle,SuperSonics,1.0,COL,
1993.0,43.0,2.0,16.0,Josh Grant,DEN,Utah,College/University,76852.0,1610612743,Denver Nuggets,Denver,Nuggets,1.0,COL,
1993.0,44.0,2.0,17.0,Alex Holcombe,SAC,Baylor,College/University,83601.0,1610612758,Sacramento Kings,Sacramento,Kings,0.0,COL,
1993.0,45.0,2.0,18.0,Bryon Russell,UTH,Long Beach State,College/University,935.0,1610612762,Utah Jazz,Utah,Jazz,1.0,COL,
1993.0,46.0,2.0,19.0,Richard Petruska,HOU,California-Los Angeles,College/University,77846.0,1610612745,Houston Rockets,Houston,Rockets,1.0,COL,
1993.0,47.0,2.0,20.0,Chris Whitney,SAN,Clemson,College/University,43.0,1610612759,San Antonio Spurs,San Antonio,Spurs,1.0,COL,
1993.0,48.0,2.0,21.0,Kevin Thompson,POR,North Carolina State,College/University,78329.0,1610612757,Portland Trail Blazers,Portland,Trail Blazers,1.0,COL,
1993.0,49.0,2.0,22.0,Mark Buford,PHX,Mississippi Valley State,College/University,83608.0,1610612756,Phoenix Suns,Phoenix,Suns,0.0,COL,
1993.0,50.0,2.0,23.0,Marcelo Nicola,HOU,Saski Baskonia,Other Team/Club,83607.0,1610612745,Houston Rockets,Houston,Rockets,0.0,PRO,Spain
1993.0,51.0,2.0,24.0,Spencer Dunkley,IND,Delaware,College/University,83604.0,1610612754,Indiana Pacers,Indiana,Pacers,0.0,COL,
1993.0,52.0,2.0,25.0,Mike Peplowski,SAC,Michigan State,College/University,46.0,1610612758,Sacramento Kings,Sacramento,Kings,1.0,COL,
1993.0,53.0,2.0,26.0,Leonard White,LAC,Southern University,College/University,83610.0,1610612746,Los Angeles Clippers,Los Angeles,Clippers,0.0,COL,
1993.0,54.0,2.0,27.0,Byron Wilson,PHX,Utah,College/University,83609.0,1610612756,Phoenix Suns,Phoenix,Suns,0.0,COL,
1992.0,1.0,1.0,1.0,Shaquille O'Neal,ORL,Louisiana State,College/University,406.0,1610612753,Orlando Magic,Orlando,Magic,1.0,COL,
1992.0,2.0,1.0,2.0,Alonzo Mourning,CHH,Georgetown,College/University,297.0,1610612766,Charlotte Hornets,Charlotte,Hornets,1.0,COL,
1992.0,3.0,1.0,3.0,Christian Laettner,MIN,Duke,College/University,363.0,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,1.0,COL,
1992.0,4.0,1.0,4.0,Jim Jackson,DAL,Ohio State,College/University,754.0,1610612742,Dallas Mavericks,Dallas,Mavericks,1.0,COL,
1992.0,5.0,1.0,5.0,LaPhonso Ellis,DEN,Notre Dame,College/University,111.0,1610612743,Denver Nuggets,Denver,Nuggets,1.0,COL,
1992.0,6.0,1.0,6.0,Tom Gugliotta,WAS,North Carolina State,College/University,339.0,1610612764,Washington Bullets,Washington,Bullets,1.0,COL,
1992.0,7.0,1.0,7.0,Walt Williams,SAC,Maryland,College/University,1005.0,1610612758,Sacramento Kings,Sacramento,Kings,1.0,COL,
1992.0,8.0,1.0,8.0,Todd Day,MIL,Arkansas,College/University,103.0,1610612749,Milwaukee Bucks,Milwaukee,Bucks,1.0,COL,
1992.0,9.0,1.0,9.0,Clar. Weatherspoon,PHL,Southern Mississippi,College/University,221.0,1610612755,Philadelphia 76ers,Philadelphia,"76ers",1.0,COL,
1992.0,10.0,1.0,10.0,Adam Keefe,ATL,Stanford,College/University,228.0,1610612737,Atlanta Hawks,Atlanta,Hawks,1.0,COL,
1992.0,11.0,1.0,11.0,Robert Horry,HOU,Alabama,College/University,109.0,1610612745,Houston Rockets,Houston,Rockets,1.0,COL,
1992.0,12.0,1.0,12.0,Harold Miner,MIA,Southern California,College/University,114.0,1610612748,Miami Heat,Miami,Heat,1.0,COL,
1992.0,13.0,1.0,13.0,Bryant Stith,DEN,Virginia,College/University,179.0,1610612743,Denver Nuggets,Denver,Nuggets,1.0,COL,
1992.0,14.0,1.0,14.0,Malik Sealy,IND,St. John's (NY),College/University,907.0,1610612754,Indiana Pacers,Indiana,Pacers,1.0,COL,
1992.0,15.0,1.0,15.0,Anthony Peeler,LAL,Missouri,College/University,324.0,1610612747,Los Angeles Lakers,Los Angeles,Lakers,1.0,COL,
1992.0,16.0,1.0,16.0,Randy Woods,LAC,La Salle,College/University,1010.0,1610612746,Los Angeles Clippers,Los Angeles,Clippers,1.0,COL,
1992.0,17.0,1.0,17.0,Doug Christie,SEA,Pepperdine,College/University,57.0,1610612760,Seattle SuperSonics,Seattle,SuperSonics,1.0,COL,
1992.0,18.0,1.0,18.0,Tracy Murray,SAN,California-Los Angeles,College/University,145.0,1610612759,San Antonio Spurs,San Antonio,Spurs,1.0,COL,
1992.0,19.0,1.0,19.0,Don MacLean,DET,California-Los Angeles,College/University,931.0,1610612765,Detroit Pistons,Detroit,Pistons,1.0,COL,
1992.0,20.0,1.0,20.0,Hubert Davis,NYK,North Carolina,College/University,93.0,1610612752,New York Knicks,New York,Knicks,1.0,COL,
1992.0,21.0,1.0,21.0,Jon Barry,BOS,Georgia Tech,College/University,468.0,1610612738,Boston Celtics,Boston,Celtics,1.0,COL,
1992.0,22.0,1.0,22.0,Oliver Miller,PHX,Arkansas,College/University,932.0,1610612756,Phoenix Suns,Phoenix,Suns,1.0,COL,
1992.0,23.0,1.0,23.0,Lee Mayberry,MIL,Arkansas,College/University,195.0,1610612749,Milwaukee Bucks,Milwaukee,Bucks,1.0,COL,
1992.0,24.0,1.0,24.0,Latrell Sprewell,GOS,Alabama,College/University,84.0,1610612744,Golden State Warriors,Golden State,Warriors,1.0,COL,
1992.0,25.0,1.0,25.0,Elmore Spencer,LAC,Nevada-Las Vegas,College/University,771.0,1610612746,Los Angeles Clippers,Los Angeles,Clippers,1.0,COL,
1992.0,26.0,1.0,26.0,Dave Johnson,POR,Syracuse,College/University,77138.0,1610612757,Portland Trail Blazers,Portland,Trail Blazers,1.0,COL,
1992.0,27.0,1.0,27.0,Byron Houston,CHI,Oklahoma State,College/University,780.0,1610612741,Chicago Bulls,Chicago,Bulls,1.0,COL,
1992.0,28.0,2.0,1.0,Marlon Maxey,MIN,Texas-El Paso,College/University,77486.0,1610612750,Minnesota Timberwolves,Minnesota,Timberwolves,1.0,COL,
1992.0,29.0,2.0,2.0,P.J. Brown,NJN,Louisiana Tech,College/University,136.0,1610612751,New Jersey Nets,New Jersey,Nets,1.0,COL,
1992.0,30.0,2.0,3.0,Sean Rooks,DAL,Arizona,College/University,399.0,1610612742,Dallas Mavericks,Dallas,Mavericks,1.0,COL,
1992.0,31.0,2.0,4.0,Reggie Smith,POR,Texas Christian,College/University,78201.0,1610612757,Portland Trail Blazers,Portland,Trail Blazers,1.0,COL,
