"link","exception","extraction_date"
https://sports.yahoo.com/arttu-ruotsalainen-goal-vs-philadelphia-192340506.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/arttu-ruotsalainen-goal-vs-philadelphia-192340506.html on URL https://sports.yahoo.com/arttu-ruotsalainen-goal-vs-philadelphia-192340506.html,"2021-04-26"
https://www.forbes.com/sites/patrickmoorhead/2021/04/12/whats-better-the-new-m1-macbooks-or-the-microsoft-surface/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/patrickmoorhead/2021/04/12/whats-better-the-new-m1-macbooks-or-the-microsoft-surface/ on URL https://www.forbes.com/sites/patrickmoorhead/2021/04/12/whats-better-the-new-m1-macbooks-or-the-microsoft-surface/,"2021-04-26"
https://www.forbes.com/sites/alfredkonuwa/2021/04/12/wwe-raw-after-wrestlemania-results-winners-news-and-notes-on-april-12-2021/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/alfredkonuwa/2021/04/12/wwe-raw-after-wrestlemania-results-winners-news-and-notes-on-april-12-2021/ on URL https://www.forbes.com/sites/alfredkonuwa/2021/04/12/wwe-raw-after-wrestlemania-results-winners-news-and-notes-on-april-12-2021/,"2021-04-26"
https://www.newsday.com/sports/basketball/liberty/dallas-wings-control-wnba-draft-with-top-two-picks-1.50214737,Article `download()` failed with 503 Server Error: Backend fetch failed for url: https://www.newsday.com/sports/basketball/liberty/dallas-wings-control-wnba-draft-with-top-two-picks-1.50214737 on URL https://www.newsday.com/sports/basketball/liberty/dallas-wings-control-wnba-draft-with-top-two-picks-1.50214737,"2021-04-26"
https://www.forbes.com/sites/doylerader/2021/04/14/the-dallas-wings-control-the-2021-wnba-draft-with-four-first-round-picks/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/doylerader/2021/04/14/the-dallas-wings-control-the-2021-wnba-draft-with-four-first-round-picks/ on URL https://www.forbes.com/sites/doylerader/2021/04/14/the-dallas-wings-control-the-2021-wnba-draft-with-four-first-round-picks/,"2021-04-26"
https://www.forbes.com/sites/justinbirnbaum/2021/04/15/fc-barcelona-hideki-matsuyama-and-rick-welts-this-weeks-most-interesting-sports-business-stories/,Article `download()` failed with 403 Client Error: Max restarts limit reached for url: https://www.forbes.com/sites/justinbirnbaum/2021/04/15/fc-barcelona-hideki-matsuyama-and-rick-welts-this-weeks-most-interesting-sports-business-stories/ on URL https://www.forbes.com/sites/justinbirnbaum/2021/04/15/fc-barcelona-hideki-matsuyama-and-rick-welts-this-weeks-most-interesting-sports-business-stories/,"2021-04-26"
https://sports.yahoo.com/astros-vs-mariners-highlights-054734434.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/astros-vs-mariners-highlights-054734434.html on URL https://sports.yahoo.com/astros-vs-mariners-highlights-054734434.html,"2021-04-26"
https://sports.yahoo.com/d-backs-vs-nationals-highlights-213333422.html,Article `download()` failed with 404 Client Error: Not Found for url: https://sports.yahoo.com/d-backs-vs-nationals-highlights-213333422.html on URL https://sports.yahoo.com/d-backs-vs-nationals-highlights-213333422.html,"2021-04-26"
https://www.seattletimes.com/sports/other-sports/sideline-chatter-it-was-a-performance-so-good-she-redefined-the-word-perfect/,"Article `download()` failed with HTTPSConnectionPool(host='www.seattletimes.com', port=443): Read timed out. (read timeout=7) on URL https://www.seattletimes.com/sports/other-sports/sideline-chatter-it-was-a-performance-so-good-she-redefined-the-word-perfect/","2021-04-26"
https://www.newsweek.com/photos-mtv-reality-stars-where-are-they-now-1582840,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.newsweek.com/photos-mtv-reality-stars-where-are-they-now-1582840 on URL https://www.newsweek.com/photos-mtv-reality-stars-where-are-they-now-1582840,"2021-04-26"
